tweet_id,name,stage,rating_numerator,rating_denominator,rating_normal,likes,retweets
704859558691414016,,pupper,10.0,10,1.0,2157,504
704761120771465216,,pupper,13.0,10,1.3,6368,2771
704347321748819968,Ralphson,pupper,10.0,10,1.0,1514,334
704054845121142784,,pupper,60.0,50,1.2,2802,877
703611486317502464,Scooter,pupper,10.0,10,1.0,3691,1455
703407252292673536,,pupper,10.0,10,1.0,2342,662
703268521220972544,,pupper,12.0,10,1.2,1901,518
702598099714314240,Sansa,pupper,11.0,10,1.1,11739,3280
701545186879471618,Millie,pupper,10.0,10,1.0,2561,581
700864154249383937,,pupper,12.0,10,1.2,2493,598
700151421916807169,,pupper,11.0,10,1.1,2157,643
700143752053182464,,pupper,10.0,10,1.0,7214,2583
699801817392291840,Cooper,pupper,11.0,10,1.1,2913,904
699434518667751424,,pupper,12.0,10,1.2,2094,493
699036661657767936,,pupper,13.0,10,1.3,2505,1148
697616773278015490,,pupper,11.0,10,1.1,3013,964
697596423848730625,,pupper,11.0,10,1.1,2886,1202
696877980375769088,Misty,pupper,9.0,10,0.9,2355,682
696713835009417216,Trevith,pupper,9.0,10,0.9,2273,617
695095422348574720,,pupper,12.0,10,1.2,2540,586
695074328191332352,Lorenzo,pupper,11.0,10,1.1,2716,1047
694356675654983680,,pupper,10.0,10,1.0,1442,273
694329668942569472,Grady,pupper,9.0,10,0.9,1917,480
693629975228977152,,pupper,12.0,10,1.2,2348,756
693590843962331137,Phil,pupper,3.0,10,0.3,4843,1860
693262851218264065,,pupper,11.0,10,1.1,2119,472
693095443459342336,Milo,pupper,10.0,10,1.0,1788,432
692905862751522816,Wally,pupper,10.0,10,1.0,2337,833
692828166163931137,,pupper,12.0,10,1.2,2760,851
692752401762250755,,pupper,13.0,10,1.3,6541,3480
692417313023332352,Herschel,pupper,7.0,10,0.7,8985,3293
690959652130045952,,pupper,11.0,10,1.1,3434,1184
690015576308211712,,pupper,12.0,10,1.2,2384,699
689905486972461056,Gizmo,pupper,11.0,10,1.1,2358,659
689623661272240129,Lucy,pupper,10.0,10,1.0,2141,615
689143371370250240,Trip,pupper,10.0,10,1.0,1945,479
688916208532455424,,pupper,11.0,10,1.1,2608,821
688894073864884227,Hamrick,pupper,7.0,10,0.7,2152,652
688519176466644993,,pupper,12.0,10,1.2,2227,698
688179443353796608,Lizzie,pupper,10.0,10,1.0,2051,559
687818504314159109,,pupper,12.0,10,1.2,2387,908
687704180304273409,Blakely,pupper,9.0,10,0.9,2340,803
687476254459715584,Curtis,pupper,11.0,10,1.1,1906,506
687312378585812992,,pupper,7.0,10,0.7,4188,1808
687096057537363968,,pupper,11.0,10,1.1,2147,577
686683045143953408,Mona,pupper,11.0,10,1.1,2711,764
686618349602762752,Olivia,pupper,11.0,10,1.1,3548,1294
